n, T, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,10,13.40805197, 93968443766215792569405321962411852128641441746394079177893055474504389279084510126543720170654309968793608618124349665205886080113114924567915188484635641678938126950133333438669754580858433139755270466791049991077288995326542662733670660459726471237159916180300286846726638941125823248964002028663622537333768906423339182248069681835266746208538619209843167307541130968738053511807770518413514383403952304,3862,19.76079774,6,154,19.23505425,4,75,30.60481429,3,54,18.61371803,3,51,62.95061731,1,1,,,,
128,100,61.75605798, 4841330492464341040368599819583139021733834148918758956133473508862660622677564843478071524950520099569137279523283073716742481790923525878591362431043273103368727816240758783241010010721008865729422669603849152215925983848917832478459295415308817362441761386801692997077019959233267569798255136667003604795768292343637906541137935203316527871112513758383575571275329698699893756806482765238630474559678338935718083973517797106683247811090570473465407352573709336748439416866223152094188812148955587660920784931324268318924234653527641399538757431820316012042586208061727567729986957615380649162937432041897871723922026660569938653857228612862078921348568228,354273,34.12297058,5,133,19.83503938,4,75,33.74211287,3,1,,,,,,,,,,
128,1,47.58911657,1.56E+95,72,8.04823494,4,72,13.2033813,4,56,20.80177832,3,71,10.95516157,3,55,63.69813037,1,1,,,,
128,10,13.32588601, 3142047240486919041712249415822819462365509908396527009114441130402519101764984348123503230817979014590144874486185342514222612000095737845881457341964541190139795770538530196405769268453754836153284681378082142886062881993806292585669417740501831584031613178381707453937378011040370831129670983763312542607689281277514780369222934220311323805347316271954649540580039491063276466561476759714591299171964901403,3773,19.96274543,5,135,22.97962999,4,64,17.4929297,3,59,11.60453844,3,59,54.86705279,1,1,,,,
128,100,164.5952663, 282824969400283769873215286786475299217689109140910603165926726399100842945075871067638901581378542368386031677806521750677182450386021158642762205408350198246183335119455445528114509514535964085665682541801157482707358511614108739474784682490782573763661608563415717636862065810101288632732127736817659637020369817723140959746177,328196,33.40059495,5,117,20.98143888,4,86,27.96970892,3,62,21.64829063,3,1,,,,,,,
128,1,6.770437479,1.10E+186,74,8.088770151,5,75,22.37519622,4,59,21.33223391,3,67,2.233710289,3,61,62.734339,1,1,,,,
128,10,13.37304997, 42647335019167395441578047869058398890763897663022669587332408177156493553231299589412885386486848024358326790897188924642779205398688555690481155343405982850591658796849881701354377626300525116854840980889387340032853183995592698931504562809749117384316714665952896307413230669987794831841016916681091383542832723245244468395196973604835349485942946601678861158359249708168358479677890976592101485495392071854,3689,20.14678884,6,115,22.05048561,4,81,27.5817287,3,1,,,,,,,,,,
128,100,41.42982459, 15426310259777394049426460218043070149913545234043386135614331124366707988834795763163719724588469429224009887143021924530191734912151872734402610194610028825754249753718083917226704655433702976842524762685516351177583236290679028989826911737724916376327989936476680156428313005692259416862797958684950518234505465610745036481023459071025076808344746848833923326222928480071483092351988419562202262149252059889076385819167443843484378513743467478144300041166469926691346656581128158173965147928181285896054200170546463161980216253466668102042726910666248838975585128458842477435204901528830892587315575258810976171472986453843284442383753927604954180155936,361553,32.82849002,6,149,28.49742556,4,73,35.99636292,3,56,2.195309877,3,56,64.44260979,1,1,,,,
128,1,6.777579069,8.73E+186,73,8.166507244,4,73,20.39962721,3,73,24.03096151,3,59,10.46206117,3,52,44.3436923,1,1,,,,
128,10,67.36282444,3.20E+204,3695,19.9405427,6,130,29.2141912,4,82,15.43318415,3,67,21.20327663,3,49,59.64224362,1,1,,,,
128,100,62.04376888, 7933335304421342379105363617585069305026638957864175792518805732689425413372868946162123391799515823510597631756743011394995780893334288494846385200787886669662076215732779203357847507506472693471276171989791419588148704116988599918363967293437099721620316842606081862720025532610884733468915578445731033822844543824127266105365,346888,33.76846218,6,173,25.6986444,4,69,14.04031277,4,63,26.93261123,3,1,,,,,,,
128,1,6.858013391,2.15E+187,71,8.186069012,4,71,14.62512517,4,75,19.52766395,3,55,3.709384918,4,50,67.48717284,1,1,,,,
128,10,67.78002954, 1026783581808742752953204410633406374468199438458907380780876158530336210054732222248943676346160971491568613530726731051413284351811006882906911874284128106229159934789993144805266029224747589325267997083588228950814315448735008224281036916639282664782057791539522205019563956639715041567892494401397423627823108055501876485066545298870749236364844294854609950687353160856109319944294272844097754500353206,3740,20.42816305,6,133,16.68603516,4,85,18.51897669,4,67,19.44569468,3,55,47.04731131,1,1,,,,
128,100,62.45679808, 1704674843604161004571310389821243791832171973858425877692490213832361852915073116201978629908528465654560867494809152190487575326359753518993530418061982419471237703713295998352364972145386510143924047736439138966955747373448201327581183741067871924104608395934865708815145612724023038505115086835083553990432330383417669445571168,358358,33.51936936,6,142,24.97891569,4,72,22.99073958,3,72,21.27708673,3,46,57.91663837,1,1,,,,
