n, b, d, L, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,1,2,3840,20.5646143,106001,88712537,3.632211208,5,141,24.37713861,4,80,21.26054835,4,62,0.745308161,4,46,64.75817585,1,1,,,,
128,1,2,5120,27.62422824,6628456,2.38595E+11,4.528127193,6,130,25.78492022,5,73,31.99201107,4,63,10.69963551,3,63,62.32713079,1,1,,,,
128,1,2,6400,35.84012866,221162591,9.20278E+13,5.644209146,6,144,28.04385757,4,67,19.59655619,4,59,31.62513351,3,47,55.27282667,1,1,,,,
128,1,3,1280,7.268709898,635029,1556952027,4.071844578,5,148,18.14634824,4,66,29.92238736,3,62,20.70966029,3,49,53.343081,1,1,,,,
128,1,3,2560,15.24944091,5.03434E+11,6.85841E+16,7.49909544,6,129,21.43148255,4,79,37.16315174,3,58,4.501805067,3,40,62.07853436,1,1,,,,
128,1,3,3840,23.17024803,1.87941E+17,1.31427E+17,46.72053242,7,186,40.8283093,3,74,21.78411317,4,59,18.51927567,3,52,51.01327085,1,1,,,,
128,1,3,5120,31.89052343,6.09515E+22,4.60796E+41,64.47886419,5,107,22.8132627,4,77,17.30940795,3,70,24.86483598,3,1,,,,,,,
128,1,3,6400,39.49816585,9.93447E+28,4.43534E+53,82.13950658,6,140,23.07190728,4,83,27.8558259,4,54,18.85691142,3,46,51.77914786,1,1,,,,
128,1,4,1280,8.290665388,8.12679E+12,2.32738E+16,8.371957302,6,137,29.60868406,4,66,22.27199936,3,62,20.49070191,3,57,63.45649123,1,1,,,,
128,1,4,2560,16.7006216,2.10896E+25,1.23409E+46,70.62750387,6,112,13.76164079,5,89,31.21935749,4,1,,,,,,,,,,
128,1,4,3840,25.29440284,2.32851E+35,4.07491E+63,109.4219241,5,98,15.73718071,4,85,15.77554321,4,58,21.61796212,3,51,51.26841855,1,1,,,,
128,1,4,5120,33.93518543,3.12402E+46,1.07384E+89,146.8086665,6,168,22.50342202,5,81,17.20448732,3,58,30.454458,3,1,,,,,,,
128,1,4,6400,42.71926761,3.25845E+59,5.9166E+113,188.3304436,5,115,18.98711371,4,73,29.58740592,3,58,17.60903358,3,53,59.89024091,1,1,,,,
256,1,2,2560,39.45580888,45,2,7.144857883,1,1,,,,,,,,,,,,,,,,
256,1,2,5120,94.59811807,2051,12405,143.8423176,80,248,666.2206624,36,248,650.5291939,26,248,570.6909509,24,248,1418.83176,14,248,4572.828997,10,248, 
256,1,2,7680,169.6001,58600,89953410,679.4031305,74,35273,760.2767985,35,8289,939.202184,28,4422,520.1930153,24,3704,1423.659604,14,1296,4847.052363,11,855, 
256,1,2,10240,233.2800992,6474582,1.40819E+11,1818.403024,74,31044,663.2413595,34,9368,488.4716709,30,5307,542.1336188,27,3650,1783.312286,13,1586,4781.723779,11,771, 
256,1,2,12800,307.4709952,621357755,1.22665E+14,2610.966306,74,36182,736.6562862,40,9746,495.7855783,28,5993,598.9664185,25,3939,1720.683839,16,1546,3758.253818,12,969, 
