n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t6, max6, lsq6, t7, max7, lsq7, t8, max8, lsq8, t9, max9, lsq9, t10, max10, lsq10
128,1000,2.603484392,1710,14426227,10.06869364,5,156,14.77066493,5,99,18.58909893,4,67,17.22704053,3,60,2.934070826,3,60,75.08085537,1,1,,,,,,,,,
128,1000,2.616549492,1574,14375048,10.13532686,5,131,26.68701339,4,64,28.99173093,4,56,21.26850438,3,46,11.88099623,3,1,,,,,,,,,,,,
128,1000,2.630371809,1690,15170543,10.19088888,6,112,25.32107711,4,75,26.41846085,4,59,12.28045869,3,55,17.92363191,3,46,13.63005662,3,1,,,,,,,,,
128,1000,2.610904694,1597,14122818,10.12212777,6,142,12.11209393,5,103,39.52779078,3,55,17.64798212,3,55,4.318852901,3,48,13.01230001,3,43,46.1456027,1,1,,,,,,
128,1000,2.581730127,1554,15168510,10.13431096,5,154,21.34882474,4,81,29.79928613,3,57,7.868414402,4,49,29.1057961,3,1,,,,,,,,,,,,
128,1000,2.634429455,1650,13799140,10.29174805,6,136,29.91433501,4,68,9.083995104,4,50,18.987252,4,50,29.44026256,3,40,3.389521122,3,1,,,,,,,,,
128,1000,2.63477993,1759,14835404,10.38675594,6,121,21.69411135,4,81,15.80636954,4,75,24.49135828,4,52,29.64283919,3,1,,,,,,,,,,,,
128,1000,2.655858517,1457,14339419,10.35685039,5,116,21.81966376,4,70,31.24607253,3,60,7.128411055,3,57,9.313135624,3,52,70.61477876,1,1,,,,,,,,,
128,1000,2.640431404,1587,15109548,10.32540059,6,135,24.14791489,4,78,25.6256206,3,60,20.46507215,3,1,,,,,,,,,,,,,,,
128,1000,2.641167641,1638,14423219,10.20280528,7,211,29.80776501,4,65,18.74858546,4,70,20.46434689,3,58,24.76876926,3,1,,,,,,,,,,,,
128,1000,2.712053537,1689,13817787,10.22508025,5,102,21.63010311,4,77,26.49370599,3,54,9.678600788,3,1,,,,,,,,,,,,,,,
128,1000,2.664536476,1574,14001692,10.26770043,5,113,20.90340328,4,85,20.58518481,4,67,19.26024389,4,53,7.912622452,3,49,24.77733493,3,1,,,,,,,,,
128,1000,2.627614737,1743,15329451,10.08900666,5,152,21.73432994,4,77,10.24080133,4,66,27.2657373,3,55,8.603251219,3,1,,,,,,,,,,,,
128,1000,2.614907742,1591,13484582,11.04787111,6,140,27.9480567,4,79,13.90373778,4,72,25.89640212,3,53,29.3230691,3,1,,,,,,,,,,,,
128,1000,3.513367653,1496,13732206,11.97407651,7,210,27.13683724,4,73,15.76719904,3,56,8.363394737,3,56,30.79041457,3,1,,,,,,,,,,,,
128,1000,2.395051718,1785,14609035,9.796943426,5,141,17.31991959,5,84,21.01690984,4,67,23.1732564,3,43,22.83300662,4,1,,,,,,,,,,,,
128,1000,2.49689436,1614,13761845,10.1797719,6,162,19.19725943,4,89,33.84333515,3,1,,,,,,,,,,,,,,,,,,
128,1000,2.528529882,1519,14255653,10.47726369,5,144,15.99288821,4,84,24.39202309,3,54,17.78095102,3,48,22.67342496,3,1,,,,,,,,,,,,
128,1000,4.061462641,1692,13598823,10.28346992,6,124,29.96776104,4,67,19.53703451,4,57,30.66342974,3,53,7.065909386,3,47,10.05814242,3,1,,,,,,,,,
128,1000,2.524354696,1609,14967576,10.30095029,6,191,34.31437397,4,67,14.14965558,3,58,33.55426788,3,1,,,,,,,,,,,,,,,
128,1000,2.530664206,1863,13286176,10.24449897,5,150,27.04031062,3,61,25.44445848,3,58,20.41256118,3,52,3.130644798,3,49,52.94211721,1,1,,,,,,,,,
128,1000,2.552941084,1583,13761192,10.14862823,6,121,20.62395477,5,73,27.47881246,3,57,8.766018867,3,52,25.38251352,3,1,,,,,,,,,,,,
128,1000,3.035114765,1945,11792542,10.93091512,5,111,26.06764174,3,84,27.87608027,3,47,5.627963543,4,56,14.22905684,3,51,62.6614213,1,1,,,,,,,,,
128,1000,2.497417927,1772,13717175,10.21432185,6,168,20.25057197,4,98,23.79887104,4,1,,,,,,,,,,,,,,,,,,
128,1000,2.489663363,1697,12029457,10.25021672,6,123,24.37644386,3,70,35.73092198,3,58,11.80485058,3,54,24.27289844,3,46,6.079661131,3,1,,,,,,,,,
128,1000,2.488238811,1542,15463989,10.28261471,6,135,25.45209336,4,57,32.69914699,4,1,,,,,,,,,,,,,,,,,,
128,1000,2.517124176,1614,13189101,10.30031681,7,160,32.43522882,4,66,6.561777592,4,66,30.24862695,3,48,17.39081597,3,1,,,,,,,,,,,,
128,1000,2.501058817,1796,14792680,10.39803934,6,128,19.15071535,4,74,25.21710634,3,1,,,,,,,,,,,,,,,,,,
128,1000,2.510463715,1579,15751961,10.33234072,5,117,34.65319538,4,69,13.39563274,3,61,9.077083111,3,55,29.77641559,3,42,6.360393286,3,40,49.89214706,1,1,,,,,,
128,1000,2.517054796,1724,15295962,10.26116514,5,155,27.86399817,4,79,8.756471634,4,67,20.1890924,3,61,29.97187734,3,51,5.998326778,3,44,27.03653574,3,1,,,,,,
128,1000,2.495509386,1871,15141911,10.20626092,6,120,26.36876154,4,65,20.86838412,4,59,25.18494868,3,1,,,,,,,,,,,,,,,
128,1000,2.476360798,1733,14312703,10.212672,7,125,28.92391396,4,82,27.97387314,3,59,22.23629808,4,46,8.861624718,3,45,0.037603855,3,45,18.99482656,3,1,,,,,,
128,1000,2.506391048,1645,13966320,10.30727339,6,160,20.5384891,4,77,16.08480835,3,52,23.75744748,3,48,19.51032782,3,1,,,,,,,,,,,,
128,1000,2.520354033,1668,15022177,10.37124586,6,148,16.40533113,4,86,23.46925902,3,57,20.81117606,3,60,31.96115732,3,40,17.53687358,2,1,,,,,,,,,
128,1000,2.494385242,1606,13931771,10.25995278,6,195,13.38503909,5,90,29.73932552,4,58,23.38818264,3,1,,,,,,,,,,,,,,,
